,code
1013,10030201
1014,10030601
1015,10031601
1016,10031701
1017,10031801
1018,10031901
1019,10032102
1020,10033101
1021,10033001
1022,10032401
1023,10032202
1024,10032801
1025,10034101
1026,10034201
1027,10034401
1028,10034601
1029,10035001
1030,10035101
1031,7681305
1032,10036001
1033,10036101
1034,10037002
1035,10037801
1036,10037701
1037,10040802
1038,10041701
1039,10043701
1040,10045301
1041,10046201
1042,10045801
1043,10045901
1044,10056001
1045,10056601
1046,10057201
1047,10058304
1048,10058401
1049,10059902
1050,10060001
1051,10061401
1052,10061501
1053,10061601
1054,10062101
1055,10062301
1056,10062501
1057,10062901
1058,10063502
1059,10063902
1060,10064101
1061,10065501
1062,10065101
1063,10064601
1064,10064401
1065,10066001
1066,10066401
1067,10067001
1068,10068601
1069,10068801
1070,10068101
1071,10068501
1072,10068701
1073,10069301
1074,10069101
1075,10070502
1076,10070801
1077,10070701
1078,10076901
1079,10077001
1080,10076601
1081,10072601
1082,10074301
1083,10074602
1084,10088501
1085,10090101
1086,10091501
1087,10092101
1088,10092401
1089,10093601
1090,10093801
1091,10094901
1092,10095001
1093,10095701
1094,10095901
1095,10096701
1096,10096601
1097,10096401
1098,10096901
1099,10097002
1100,10097301
1101,10097201
1102,10119201
1103,10122501
1104,10123001
1105,10122701
1106,10122801
1107,10124101
1108,10124201
1109,10124301
1110,10124401
1111,10125201
1112,10125101
1113,10020101
1114,10129501
1115,10130201
1116,5506705
1117,10131705
1118,10134201
1119,10135101
1120,10136401
1121,10148001
1122,10149801
1123,10150401
1124,10150501
1125,10151001
1126,10150901
1127,10150801
1128,10152101
1129,10152201
1130,10152301
1131,10153301
1132,10153801
1133,10153701
1134,10154101
1135,10155702
1136,10156301
1137,10156601
1138,10157501
1139,5482007
1140,10159501
1141,10135701
1142,10155601
1143,10157201
1144,10159801
1145,10160101
1146,10161601
1147,10161701
1148,10163101
1149,10165201
1150,10166901
1151,10167301
1152,10167801
1153,10168701
1154,10169001
1155,10169201
1156,10170501
1157,10170101
1158,10181402
1159,10181501
1160,10182701
1161,10188401
1162,10194501
1163,10199501
1164,10199101
1165,10199301
1166,10199001
1167,10198601
1168,10200801
1169,10203001
1170,10206401
1171,10145301
1172,10207001
1173,10207301
1174,10208101
1175,10208701
1176,10209801
1177,10211601
1178,10211701
1179,10213101
1180,10214101
1181,10214701
1182,10215301
1183,10215701
1184,10215801
1185,10215806
1186,10220001
1187,10220501
1188,10221201
1189,10221401
1190,10221601
1191,10225401
1192,10225301
1193,2676201
1194,2664601
1195,2630001
1196,2772208
1197,2736701
1198,2714701
1199,2709602
1200,2696901
1201,2738401
1202,2760101
1203,2697002
1204,2774301
1205,2831501
1206,2874201
1207,2796002
1208,2866601
1209,2857201
1210,2843901
1211,2872101
1212,2842901
1213,2881102
1214,2875901
1215,2883702
1216,2876801
1217,2882401
1218,2893302
1219,3037101
1220,3016601
1221,3251101
1222,3170001
1223,3210101
1224,3217202
1225,3216101
1226,3248101
1227,3294901
1228,3349701
1229,3295801
1230,3309201
1231,3346901
1232,3263401
1233,3310701
1234,3300901
1235,3316001
1236,3318201
1237,3342501
1238,3298301
1239,3317302
1240,3352301
1241,3269801
1242,3327701
1243,3295601
1244,3294101
1245,3271201
1246,3301701
1247,3347901
1248,3337201
1249,3304501
1250,3298002
1251,3298005
1252,3295901
1253,3317801
1254,3280401
1255,3308501
1256,3294001
1257,3296001
1258,3321701
1259,3317201
1260,3306301
1261,3316101
1262,3315405
1263,3335201
1264,3347401
1265,3279201
1266,3327801
1267,3301801
1268,3313802
1269,3355402
1270,3448701
1271,3411401
1272,3446301
1273,3448905
1274,3365601
1275,3395701
1276,3429301
1277,3402901
1278,3396802
1279,3433901
1280,3428501
1281,3449201
1282,3437401
1283,3412101
1284,3367302
1285,3399501
1286,3389701
1287,3414301
1288,3403908
1289,3410201
1290,3411501
1291,3400201
1292,3365701
1293,3434601
1294,3411901
1295,3396901
1296,3360401
1297,3393001
1298,3384301
1299,3394101
1300,3401301
1301,3402401
1302,3396101
1303,3403301
1304,3414201
1305,3435301
1306,3389601
1307,3358901
1308,3548301
1309,3516701
1310,3506901
1311,3461901
1312,3484801
1313,3540801
1314,3524105
1315,3538501
1316,3513001
1317,3539401
1318,3468705
1319,3522301
1320,3463001
1321,3526701
1322,3514501
1323,3539801
1324,3505801
1325,3476601
1326,3495107
1327,3487907
1328,3458101
1329,3484401
1330,3548001
1331,3520701
1332,3528201
1333,3522901
1334,3507101
1335,3476801
1336,3452601
1337,3453701
1338,3521201
1339,3540701
1340,3501102
1341,3526401
1342,3513101
1343,3536201
1344,3539501
1345,3524001
1346,3538402
1347,3506601
1348,3507701
1349,3480501
1350,3514801
1351,3453101
1352,3514605
1353,3462001
1354,3538801
1355,3524405
1356,3485101
1357,3496001
1358,3453601
1359,3521501
1360,3476901
1361,3539202
1362,3510801
1363,3496701
1364,3520601
1365,3458201
1366,3507001
1367,3512601
1368,3452501
1369,3513701
1370,3506501
1371,3531701
1372,3558107
1373,3621901
1374,3638101
1375,3573501
1376,3628301
1377,3606501
1378,3570201
1379,3549205
1380,3576801
1381,3558301
1382,3595901
1383,3640201
1384,3581301
1385,3633901
1386,3569802
1387,3555401
1388,3567601
1389,3573201
1390,3554101
1391,3647901
1392,3549801
1393,3845201
1394,3794401
1395,3795801
1396,3776301
1397,3755601
1398,3794701
1399,3771601
1400,3813101
1401,3798402
1402,3788601
1403,3812701
1404,3811602
1405,3795101
1406,3798602
1407,3794001
1408,3775502
1409,3802701
1410,3773301
1411,3812101
1412,3805801
1413,3803401
1414,3794601
1415,3771501
1416,3803201
1417,3778105
1418,3793501
1419,3816501
1420,3780401
1421,3816301
1422,3768001
1423,3770301
1424,3794501
1425,3752901
1426,3800601
1427,3813902
1428,3798501
1429,3756901
1430,3845701
1431,3784101
1432,3795201
1433,3814801
1434,3832202
1435,3784301
1436,3845501
1437,3882305
1438,3882301
1439,3923105
1440,3922401
1441,3860105
1442,3859101
1443,3865605
1444,3904804
1445,3910001
1446,3882501
1447,3908602
1448,3905101
1449,3903701
1450,3899101
1451,3917401
1452,3866801
1453,3990801
1454,4035501
1455,3978501
1456,3969705
1457,3994902
1458,4034601
1459,4017001
1460,4020201
1461,3978401
1462,4002901
1463,3991301
1464,4033201
1465,4106505
1466,4124101
1467,4106704
1468,4057201
1469,4093901
1470,4117907
1471,4126602
1472,4073001
1473,4068901
1474,4107002
1475,4073201
1476,4124601
